year,types,property_type,category,subcategory,no_of_units
2006,Commercial,Shops and Eating Houses,Sold,NA,NA
2006,Commercial,Shops and Eating Houses,Rented,NA,287
2006,Commercial,Offices,Sold,NA,NA
2006,Commercial,Offices,Rented,NA,112
2006,Commercial,Supermarkets & Emporiums,Sold,NA,NA
2006,Commercial,Supermarkets & Emporiums,Rented,NA,6
2006,Commercial,Civil Defence Shelters (commercial use),Sold,NA,NA
2006,Commercial,Civil Defence Shelters (commercial use),Rented,NA,23
2006,Commercial,Shops and Eating Houses,Sold,NA,17
2007,Commercial,Shops and Eating Houses,Rented,NA,330
2007,Commercial,Offices,Sold,NA,NA
2007,Commercial,Offices,Rented,NA,200
2007,Commercial,Supermarkets & Emporiums,Sold,NA,NA
2007,Commercial,Supermarkets & Emporiums,Rented,NA,9
2007,Commercial,Civil Defence Shelters (commercial use),Sold,NA,NA
2007,Commercial,Civil Defence Shelters (commercial use),Rented,NA,3
2008,Commercial,Shops and Eating Houses,Sold,NA,15
2008,Commercial,Shops and Eating Houses,Rented,NA,254
2008,Commercial,Offices,Sold,NA,NA
2008,Commercial,Offices,Rented,NA,131
2008,Commercial,Supermarkets & Emporiums,Sold,NA,NA
2008,Commercial,Supermarkets & Emporiums,Rented,NA,3
2008,Commercial,Civil Defence Shelters (commercial use),Sold,NA,NA
2008,Commercial,Civil Defence Shelters (commercial use),Rented,NA,26
2009,Commercial,Shops and Eating Houses,Sold,NA,1
2009,Commercial,Shops and Eating Houses,Rented,NA,204
2009,Commercial,Offices,Sold,NA,NA
2009,Commercial,Offices,Rented,NA,78
2009,Commercial,Supermarkets & Emporiums,Sold,NA,NA
2009,Commercial,Supermarkets & Emporiums,Rented,NA,5
2009,Commercial,Civil Defence Shelters (commercial use),Sold,NA,NA
2009,Commercial,Civil Defence Shelters (commercial use),Rented,NA,4
2010,Commercial,Shops and Eating Houses,Sold,NA,7
2010,Commercial,Shops and Eating Houses,Rented,NA,128
2010,Commercial,Offices,Sold,NA,NA
2010,Commercial,Offices,Rented,NA,55
2010,Commercial,Supermarkets & Emporiums,Sold,NA,NA
2010,Commercial,Supermarkets & Emporiums,Rented,NA,2
2010,Commercial,Civil Defence Shelters (commercial use),Sold,NA,NA
2010,Commercial,Civil Defence Shelters (commercial use),Rented,NA,6
2011,Commercial,Shops and Eating Houses,Sold,NA,15
2011,Commercial,Shops and Eating Houses,Rented,NA,105
2011,Commercial,Offices,Sold,NA,NA
2011,Commercial,Offices,Rented,NA,48
2011,Commercial,Supermarkets & Emporiums,Sold,NA,NA
2011,Commercial,Supermarkets & Emporiums,Rented,NA,3
2011,Commercial,Civil Defence Shelters (commercial use),Sold,NA,NA
2011,Commercial,Civil Defence Shelters (commercial use),Rented,NA,10
2012,Commercial,Shops and Eating Houses,Sold,NA,5
2012,Commercial,Shops and Eating Houses,Rented,NA,92
2012,Commercial,Offices,Sold,NA,0
2012,Commercial,Offices,Rented,NA,38
2012,Commercial,Supermarkets & Emporiums,Sold,NA,0
2012,Commercial,Supermarkets & Emporiums,Rented,NA,3
2012,Commercial,Civil Defence Shelters (commercial use),Sold,NA,0
2012,Commercial,Civil Defence Shelters (commercial use),Rented,NA,1
2013,Commercial,Shops and Eating Houses,Sold,NA,0
2013,Commercial,Shops and Eating Houses,Rented,NA,131
2013,Commercial,Offices,Sold,NA,0
2013,Commercial,Offices,Rented,NA,62
2013,Commercial,Supermarkets & Emporiums,Sold,NA,0
2013,Commercial,Supermarkets & Emporiums,Rented,NA,5
2013,Commercial,Civil Defence Shelters (commercial use),Sold,NA,0
2013,Commercial,Civil Defence Shelters (commercial use),Rented,NA,8
2014,Commercial,Shops and Eating Houses,Sold,NA,NA
2014,Commercial,Shops and Eating Houses,Rented,NA,158
2014,Commercial,Offices,Sold,NA,NA
2014,Commercial,Offices,Rented,NA,49
2014,Commercial,Supermarkets & Emporiums,Sold,NA,NA
2014,Commercial,Supermarkets & Emporiums,Rented,NA,9
2014,Commercial,Civil Defence Shelters (commercial use),Sold,NA,NA
2014,Commercial,Civil Defence Shelters (commercial use),Rented,NA,0
2015,Commercial,Shops and Eating Houses,Sold,NA,12
2015,Commercial,Shops and Eating Houses,Rented,NA,192
2015,Commercial,Offices,Sold,NA,NA
2015,Commercial,Offices,Rented,NA,39
2015,Commercial,Supermarkets & Emporiums,Sold,NA,NA
2015,Commercial,Supermarkets & Emporiums,Rented,NA,20
2015,Commercial,Civil Defence Shelters (commercial use),Sold,NA,NA
2015,Commercial,Civil Defence Shelters (commercial use),Rented,NA,10
2006,Industrial,Terrace Workshops,Sold,NA,NA
2006,Industrial,Terrace Workshops,Rented,NA,305
2006,Industrial,Industrial Shops,Sold,NA,NA
2006,Industrial,Industrial Shops,Rented,NA,335
2006,Industrial,Warehouse,Sold,NA,NA
2006,Industrial,Warehouse,Rented,NA,5
2006,Industrial,Prototype Factories,Sold,NA,NA
2006,Industrial,Prototype Factories,Rented,NA,0
2006,Industrial,Flatted/Ramp-up Factories,Sold,NA,NA
2006,Industrial,Flatted/Ramp-up Factories,Rented,NA,285
2006,Industrial,Canteens/Eating House,Sold,NA,NA
2006,Industrial,Canteens/Eating House,Rented,NA,5
2007,Industrial,Terrace Workshops,Sold,NA,NA
2007,Industrial,Terrace Workshops,Rented,NA,116
2007,Industrial,Industrial Shops,Sold,NA,NA
2007,Industrial,Industrial Shops,Rented,NA,228
2007,Industrial,Warehouse,Sold,NA,NA
2007,Industrial,Warehouse,Rented,NA,8
2007,Industrial,Prototype Factories,Sold,NA,NA
2007,Industrial,Prototype Factories,Rented,NA,1
2007,Industrial,Flatted/Ramp-up Factories,Sold,NA,NA
2007,Industrial,Flatted/Ramp-up Factories,Rented,NA,119
2007,Industrial,Canteens/Eating House,Sold,NA,NA
2007,Industrial,Canteens/Eating House,Rented,NA,1
2007,Industrial,TOL Land,Sold,NA,NA
2007,Industrial,TOL Land,Rented,NA,2
2008,Industrial,Terrace Workshops,Sold,NA,NA
2008,Industrial,Terrace Workshops,Rented,NA,24
2008,Industrial,Industrial Shops,Sold,NA,NA
2008,Industrial,Industrial Shops,Rented,NA,109
2008,Industrial,Warehouse,Sold,NA,NA
2008,Industrial,Warehouse,Rented,NA,0
2008,Industrial,Prototype Factories,Sold,NA,NA
2008,Industrial,Prototype Factories,Rented,NA,0
2008,Industrial,Flatted/Ramp-up Factories,Sold,NA,NA
2008,Industrial,Flatted/Ramp-up Factories,Rented,NA,34
2008,Industrial,Canteens/Eating House,Sold,NA,NA
2008,Industrial,Canteens/Eating House,Rented,NA,0
2008,Industrial,TOL Land,Sold,NA,NA
2008,Industrial,TOL Land,Rented,NA,0
2009,Industrial,Terrace Workshops,Sold,NA,NA
2009,Industrial,Terrace Workshops,Rented,NA,35
2009,Industrial,Industrial Shops,Sold,NA,NA
2009,Industrial,Industrial Shops,Rented,NA,68
2009,Industrial,Warehouse,Sold,NA,NA
2009,Industrial,Warehouse,Rented,NA,1
2009,Industrial,Prototype Factories,Sold,NA,NA
2009,Industrial,Prototype Factories,Rented,NA,0
2009,Industrial,Flatted/Ramp-up Factories,Sold,NA,NA
2009,Industrial,Flatted/Ramp-up Factories,Rented,NA,37
2009,Industrial,Canteens/Eating House,Sold,NA,NA
2009,Industrial,Canteens/Eating House,Rented,NA,0
2009,Industrial,TOL Land,Sold,NA,NA
2009,Industrial,TOL Land,Rented,NA,0
2010,Industrial,Terrace Workshops,Sold,NA,NA
2010,Industrial,Terrace Workshops,Rented,NA,136
2010,Industrial,Industrial Shops,Sold,NA,NA
2010,Industrial,Industrial Shops,Rented,NA,31
2010,Industrial,Warehouse,Sold,NA,NA
2010,Industrial,Warehouse,Rented,NA,0
2010,Industrial,Prototype Factories,Sold,NA,NA
2010,Industrial,Prototype Factories,Rented,NA,0
2010,Industrial,Flatted/Ramp-up Factories,Sold,NA,NA
2010,Industrial,Flatted/Ramp-up Factories,Rented,NA,16
2010,Industrial,Canteens/Eating House,Sold,NA,NA
2010,Industrial,Canteens/Eating House,Rented,NA,0
2010,Industrial,TOL Land,Sold,NA,NA
2010,Industrial,TOL Land,Rented,NA,0
2011,Industrial,Terrace Workshops,Sold,NA,NA
2011,Industrial,Terrace Workshops,Rented,NA,59
2011,Industrial,Industrial Shops,Sold,NA,NA
2011,Industrial,Industrial Shops,Rented,NA,20
2011,Industrial,Warehouse,Sold,NA,NA
2011,Industrial,Warehouse,Rented,NA,0
2011,Industrial,Prototype Factories,Sold,NA,NA
2011,Industrial,Prototype Factories,Rented,NA,0
2011,Industrial,Flatted/Ramp-up Factories,Sold,NA,NA
2011,Industrial,Flatted/Ramp-up Factories,Rented,NA,13
2011,Industrial,Canteens/Eating House,Sold,NA,NA
2011,Industrial,Canteens/Eating House,Rented,NA,0
2011,Industrial,TOL Land,Sold,NA,NA
2011,Industrial,TOL Land,Rented,NA,0
2012,Industrial,Terrace Workshops,Sold,NA,NA
2012,Industrial,Terrace Workshops,Rented,NA,7
2012,Industrial,Industrial Shops,Sold,NA,NA
2012,Industrial,Industrial Shops,Rented,NA,22
2012,Industrial,Warehouse,Sold,NA,NA
2012,Industrial,Warehouse,Rented,NA,0
2012,Industrial,Prototype Factories,Sold,NA,NA
2012,Industrial,Prototype Factories,Rented,NA,0
2012,Industrial,Industrial Complexes,Sold,NA,NA
2012,Industrial,Industrial Complexes,Rented,NA,11
2012,Industrial,Canteens/Eating House,Sold,NA,NA
2012,Industrial,Canteens/Eating House,Rented,NA,0
2013,Industrial,Terrace Workshops,Sold,NA,NA
2013,Industrial,Terrace Workshops,Rented,NA,8
2013,Industrial,Industrial Shops,Sold,NA,NA
2013,Industrial,Industrial Shops,Rented,NA,15
2013,Industrial,Warehouse,Sold,NA,NA
2013,Industrial,Warehouse,Rented,NA,0
2013,Industrial,Prototype Factories,Sold,NA,NA
2013,Industrial,Prototype Factories,Rented,NA,0
2013,Industrial,Industrial Complexes,Sold,NA,NA
2013,Industrial,Industrial Complexes,Rented,NA,10
2013,Industrial,Canteens/Eating House,Sold,NA,NA
2013,Industrial,Canteens/Eating House,Rented,NA,1
2014,Industrial,Terrace Workshops,Sold,NA,NA
2014,Industrial,Terrace Workshops,Rented,NA,15
2014,Industrial,Industrial Shops,Sold,NA,NA
2014,Industrial,Industrial Shops,Rented,NA,24
2014,Industrial,Warehouse,Sold,NA,NA
2014,Industrial,Warehouse,Rented,NA,0
2014,Industrial,Prototype Factories,Sold,NA,NA
2014,Industrial,Prototype Factories,Rented,NA,1
2014,Industrial,Industrial Complexes,Sold,NA,NA
2014,Industrial,Industrial Complexes,Rented,NA,4
2014,Industrial,Canteens/Eating House,Sold,NA,NA
2014,Industrial,Canteens/Eating House,Rented,NA,0
2014,Industrial,Wholesale Centres,Sold,NA,NA
2014,Industrial,Wholesale Centres,Rented,NA,8
2015,Industrial,Terrace Workshops,Sold,NA,NA
2015,Industrial,Terrace Workshops,Rented,NA,19
